COD_TIPO_NDG,ID_CUSTOMER,IMP_GBV,PRED_PROB_RECOVERY_12M_AHEAD,PRED_RECOVERY_RATE_12M_AHEAD,PRED_INCASSI_12M_AHEAD,PRED_RECOVERY_CLASS
C,27024,517.45,0.8309760006502389,0.7616390343335933,394.1101183159179,A
F,17405,3032.61,0.8967123916426574,0.6793516692416716,2060.208665658986,A
G,434,283.18,0.8832082837879485,0.6741501732617561,190.9058460642641,A
C,6735,467.58,0.9489836382705774,0.6318837685319041,295.4562124901477,A
C,6706,500.14,0.9352522403279454,0.6190703037658849,309.62182172546966,A
F,27177,8210.79,0.8887763058620494,0.6135325131307087,5037.586623488492,A
F,6118,812.93,0.8275466734559543,0.5980373121934737,486.1624722014405,A
G,7161,1596.68,0.7978988392814832,0.5955661150106774,950.9285045152484,A
F,18357,771.51,0.9046604495586009,0.5904105143631077,455.5076159362812,A
F,26852,1395.38,0.7882168100416685,0.5773678769864303,805.6475881893252,A
F,21253,848.25,0.9101008404123677,0.573855688295104,486.773087596322,A
F,15530,842.37,0.947027735450271,0.5716827531566298,481.5684007765502,A
C,14608,1013.24,0.9420016334082018,0.568474461423217,576.0010632924605,A
C,3074,708.52,0.8902596799384056,0.5605338611126816,397.1494512755571,A
F,25850,640.92,0.9083002479263537,0.5577959001282888,357.50254831022283,A
G,21781,1328.59,0.8722387484920089,0.5547559368780316,737.0431901767839,A
F,11930,1027.68,0.9270916918467165,0.546035576811641,561.1498415777874,A
F,24438,819.21,0.9201731986944949,0.5364830857216353,439.49230865402086,A
C,27607,498.11,0.8558070979740144,0.5358900176077676,266.9321766706051,A
C,16600,909.7,0.9619515933456491,0.5355978270757585,487.2333432908176,A
F,15016,1123.77,0.781802876533874,0.5291171889581979,594.6060234355541,A
F,25572,1164.71,0.7990992395882973,0.5289857906682291,616.1150402491932,A
C,15662,539.63,0.9105321461376991,0.5265348833502748,284.13401910230874,A
G,8290,335.89,0.7875081413985348,0.5230101728143166,175.6738869466008,A
F,11257,1221.49,0.837004606071018,0.5120363385555401,625.4472671822067,A
C,586,954.9,0.7538468043083634,0.511977729546515,488.8875339439671,A
G,16408,1438.53,0.9610500785643874,0.5102351894128849,733.9886270261173,A
G,22731,1750.39,0.8573097655427654,0.5093491948400102,891.5597371560054,A
G,7943,4133.09,0.7875912548440122,0.507881348666411,2099.119323359657,A
F,21009,909.84,0.9201682006525106,0.5057613285325273,460.16188715203464,A
F,6478,837.61,0.8466126163272842,0.503055800255293,421.36456885183594,A
F,15544,1096.27,0.8567272350188058,0.5027861725375063,551.1893973676921,A
F,17707,845.06,0.7511999969923346,0.5014388758153643,423.7459363965317,A
F,24712,376.1,0.8497480440599249,0.5010246394741937,188.43536690624427,A
F,15294,798.99,0.8793877776248387,0.49940929341681434,399.02303134710047,A
C,1128,904.84,0.9202695243556085,0.49646601879501007,449.2223124464769,A
F,24704,1598.78,0.8936675624672653,0.4930181826166185,788.2276100037973,A
F,10252,1128.41,0.840478401536962,0.49165591397042757,554.7894498833703,A
F,26158,547.34,0.8071636531245342,0.4840358390060519,264.93217612157247,A
C,1241,2.47,0.8010792268321366,0.48199946120476617,1.1905386691757724,A
C,13724,880.23,0.8443641598165122,0.4806280761049721,423.0632514298796,A
F,10378,959.42,0.9227214380223163,0.4732145859910002,454.01153809148536,A
C,5506,372.98,0.7764306012689722,0.47124810477047696,175.7661181172925,A
F,26521,689.31,0.8713902444633389,0.47003694178688277,324.00116434311616,A
C,12097,853.47,0.8499326800451744,0.4670835806925694,398.6418236136872,A
F,24015,1903.79,0.8154009210711883,0.46610901660096093,887.3736847147434,A
C,16093,592.32,0.9401330525938613,0.4645480109299768,275.16107783404385,A
C,22419,391.15,0.9803631991965253,0.46374344414068447,181.3932481756287,A
C,12395,492.19,0.9069951977362201,0.4614385144263342,227.11542241549745,A
F,23036,996.95,0.9002833603626348,0.46118747327417153,459.7808514806853,A
G,4603,1512.34,0.8609914908817258,0.45924162760219067,694.529483087897,A
G,19216,1908.1,0.9052258212531685,0.4590614440187599,875.9351413321957,A
F,26168,810.41,0.8189533956735632,0.45890923462073097,371.90463282898656,A
F,17471,656.15,0.8716312966761638,0.4543317878514089,298.10980259870195,A
